cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75
4141605,N-(1H-benzimidazol-2-yl)-5-chloro-2-hydroxy-benzamide,C1=CC=C2C(=C1)NC(=N2)NC(=O)C3=C(C=CC(=C3)Cl)O,C14H10ClN3O2,3,3,2,3.1742000000000004,287.04615423999996,20,78.01,0.2563773875144212,0,Alta,0.818,0.2307692307692307,0.9182614175358316,0.7463883708441813
168266498,2-[(1H-benzimidazol-2-ylamino)methyl]-4-nitro-phenol,C1=CC=C2C(=C1)NC(=N2)NCC3=C(C=CC(=C3)[N+](=O)[O-])O,C14H12N4O3,5,3,4,2.7888000000000006,284.09094024399997,21,104.08,0.2017678708685626,0,Media,0.788,0.3548387096774194,0.9476954458995106,0.7994812618439878
86794349,5-chloro-1-methyl-N-[(2-methylpyrazol-3-yl)methyl]benzimidazol-2-amine,CN1C2=C(C=C(C=C2)Cl)N=C1NCC3=CC=NN3C,C13H14ClN5,5,1,3,2.5723000000000003,275.093773128,19,47.67,0.3985735263268303,0,Media,0.732,0.3620689655172414,0.9195672725699422,0.780192695806767
35280468,3-chloro-N-(1-methylbenzimidazol-2-yl)benzamide,CN1C2=CC=CC=C2N=C1NC(=O)C3=CC(=CC=C3)Cl,C15H12ClN3O,3,1,2,3.479000000000002,285.066889684,20,46.92,0.4262574595055413,0,Media,0.728,0.3859649122807017,0.9763817561324676,0.8287775451695262
16012600,N-[(3-chlorophenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)Cl,C15H14ClN3,3,1,3,3.838800000000002,271.08762512799996,19,29.85,0.6365159128978224,0,Media,0.718,0.5098039215686274,0.9693119261114194,0.8544349249757214
102040424,N-methyl-2-[(1-methylbenzimidazol-2-yl)methyleneamino]aniline,CNC1=CC=CC=C1N=CC2=NC3=CC=CC=C3N2C,C16H16N4,4,1,3,3.3656000000000015,264.137496512,20,42.21,0.4738213693437574,0,Media,0.716,0.3103448275862069,0.9553294803039448,0.7940833171245104
16653128,N-[(4-chlorophenyl)methyl]-1H-benzimidazol-2-amine,C1=CC=C2C(=C1)NC(=N2)NCC3=CC=C(C=C3)Cl,C14H12ClN3,2,2,3,3.828400000000001,257.071975064,18,40.71,0.4421518054532056,0,Media,0.712,0.2166666666666666,0.8980948060645924,0.727737771215111
16488540,1-allyl-N-[(3-chlorophenyl)methyl]benzimidazol-2-amine,C=CCN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)Cl,C17H16ClN3,3,1,5,4.487800000000003,297.10327519199996,21,29.85,0.7035175879396984,0,Media,0.71,0.3387096774193548,0.9263235887337736,0.7794201109051688
975441,1-allyl-N-[(4-methoxyphenyl)methyl]benzimidazol-2-amine,COC1=CC=C(C=C1)CNC2=NC3=CC=CC=C3N2CC=C,C18H19N3O,4,1,6,3.843000000000002,293.152812228,22,39.08,0.5629477993858751,0,Media,0.708,0.3442622950819672,0.9330666279645554,0.7858655447439085
4247652,"N-(1H-benzimidazol-2-yl)-3,5-dichloro-2-hydroxy-benzamide",C1=CC=C2C(=C1)NC(=N2)NC(=O)C3=C(C(=CC(=C3)Cl)Cl)O,C14H9Cl2N3O2,3,3,2,3.827600000000001,321.007181888,21,78.01,0.2691962568901422,0,Media,0.704,0.1911764705882352,0.9281929883745224,0.7439388589279505
2583692,N-(1H-benzimidazol-2-yl)-3-iodo-benzamide,C1=CC=C2C(=C1)NC(=N2)NC(=O)C3=CC(=CC=C3)I,C14H10IN3O,2,2,2,3.4198000000000013,362.98685994,19,57.78,0.3288335064035999,0,Media,0.704,0.1818181818181818,0.8948142283730449,0.716565216734329
16012602,N-[(3-chlorophenyl)methyl]-1-ethyl-benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)Cl,C16H16ClN3,3,1,4,4.3217000000000025,285.10327519199996,20,29.85,0.6700167504187604,0,Media,0.698,0.3793103448275862,0.9473913355664711,0.8053710878817499
2083985,N-(1H-benzimidazol-2-yl)-3-bromo-benzamide,C1=CC=C2C(=C1)NC(=N2)NC(=O)C3=CC(=CC=C3)Br,C14H10BrN3O,2,2,2,3.577700000000001,315.00072403999997,19,57.78,0.3288335064035999,0,Media,0.698,0.2580645161290322,0.900276519386916,0.7397235185724451
4915638,6-chloro-N-(2-pyridylmethyl)-1H-benzimidazol-2-amine,C1=CC=NC(=C1)CNC2=NC3=C(N2)C=C(C=C3)Cl,C13H11ClN4,3,2,3,3.2234000000000007,258.067224032,18,53.6,0.335820895522388,0,Media,0.698,0.1969696969696969,0.967232872846096,0.7746670788769962
7013068,1-allyl-N-[(4-chlorophenyl)methyl]benzimidazol-2-amine,C=CCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Cl,C17H16ClN3,3,1,5,4.487800000000003,297.10327519199996,21,29.85,0.7035175879396984,0,Media,0.694,0.3389830508474576,0.9263235887337736,0.7794884542621945
747511,4-fluoro-N-(1-methylbenzimidazol-2-yl)benzamide,CN1C2=CC=CC=C2N=C1NC(=O)C3=CC=C(C=C3)F,C15H12FN3O,3,1,2,2.9647000000000014,269.096440224,20,46.92,0.4262574595055413,0,Media,0.692,0.3818181818181818,0.9760095339271008,0.827461695899871
139799983,2-[(E)-2-(2-chlorophenyl)vinyl]-1-methyl-benzimidazole,CN1C2=CC=CC=C2N=C1C=CC3=CC=CC=C3Cl,C16H13ClN2,2,0,2,4.397100000000003,268.076726096,19,17.82,1.0662177328843996,0,Media,0.69,0.3035714285714285,0.6400279893106426,0.5559138491258391
135451339,2-methoxy-6-[(E)-(1-methylbenzimidazol-2-yl)iminomethyl]phenol,CN1C2=CC=CC=C2N=C1N=CC3=C(C(=CC=C3)OC)O,C16H15N3O2,5,1,3,3.0381000000000022,281.11642672,21,59.64,0.352112676056338,0,Media,0.686,0.3015873015873015,0.92672993646085,0.7704442777424627
16653129,N-[(4-methoxyphenyl)methyl]-1H-benzimidazol-2-amine,COC1=CC=C(C=C1)CNC2=NC3=CC=CC=C3N2,C15H15N3O,3,2,4,3.183600000000001,253.1215121,19,49.94,0.3804565478574289,0,Media,0.682,0.2258064516129032,0.9681050903408464,0.7825304306588606
923827,N-(2-phenylethyl)-1H-benzimidazol-2-amine,C1=CC=C(C=C1)CCNC2=NC3=CC=CC=C3N2,C15H15N3,2,2,4,3.217500000000001,237.12659748,18,40.71,0.4421518054532056,0,Media,0.68,0.2033898305084746,0.8871147748935173,0.7161835387972566
135421622,2-[(E)-1H-benzimidazol-2-yliminomethyl]-4-bromo-phenol,C1=CC=C2C(=C1)NC(=N2)N=CC3=C(C=CC(=C3)Br)O,C14H10BrN3O,3,2,2,3.7816000000000014,315.00072403999997,19,61.27,0.3101028235678146,0,Media,0.678,0.3166666666666666,0.96886306809052,0.8058139677345566
793690,2-[(1-methylbenzimidazol-2-yl)methyleneamino]phenol,CN1C2=CC=CC=C2N=C1C=NC3=CC=CC=C3O,C15H13N3O,4,1,2,3.029500000000002,251.105862036,19,50.41,0.3769093433842492,0,Media,0.674,0.3703703703703703,0.9478181628128822,0.8034562147022543
936788,N-[(4-chlorophenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Cl,C15H14ClN3,3,1,3,3.838800000000002,271.08762512799996,19,29.85,0.6365159128978224,0,Media,0.672,0.5102040816326531,0.9693119261114194,0.8545349649917278
3640001,1-butyl-N-[(4-chlorophenyl)methyl]benzimidazol-2-amine,CCCCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Cl,C18H20ClN3,3,1,6,5.101900000000004,313.13457532,22,29.85,0.7370184254606365,1,Media,0.67,0.3793103448275862,0.8897424745825406,0.7621344421438021
2773160,1-methyl-2-styryl-benzimidazole,CN1C2=CC=CC=C2N=C1C=CC3=CC=CC=C3,C16H14N2,2,0,2,3.7437000000000022,234.115698448,18,17.82,1.0101010101010102,0,Media,0.67,0.3269230769230769,0.6690498455849119,0.5835181534194532
5708370,1-methyl-2-[(E)-styryl]benzimidazole,CN1C2=CC=CC=C2N=C1C=CC3=CC=CC=C3,C16H14N2,2,0,2,3.7437000000000022,234.115698448,18,17.82,1.0101010101010102,0,Media,0.67,0.3269230769230769,0.6690498455849119,0.5835181534194532
1087007,N-[(4-methoxyphenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)OC,C16H17N3O,4,1,4,3.1940000000000017,267.137162164,20,39.08,0.5117707267144319,0,Media,0.666,0.4901960784313725,0.95089161396002,0.8357177300778581
951158,2-[[(1-allylbenzimidazol-2-yl)amino]methyl]-4-chloro-phenol,C=CCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Cl)O,C17H16ClN3O,4,2,5,4.193400000000003,313.09818981199993,22,50.08,0.4392971246006389,0,Media,0.662,0.5087719298245614,0.9898647715701666,0.8695915611337652
787413,2-[(1H-benzimidazol-2-ylamino)methyl]-4-chloro-phenol,C1=CC=C2C(=C1)NC(=N2)NCC3=C(C=CC(=C3)Cl)O,C14H12ClN3O,3,3,3,3.534000000000001,273.066889684,19,60.94,0.3117820807351493,0,Media,0.662,0.3859649122807017,0.931396708584378,0.7950387595084588
135449547,4-chloro-2-[(E)-(1-methylbenzimidazol-2-yl)iminomethyl]phenol,CN1C2=CC=CC=C2N=C1N=CC3=C(C=CC(=C3)Cl)O,C15H12ClN3O,4,1,2,3.6829000000000023,285.06688968399993,20,50.41,0.3967466772465781,0,Media,0.66,0.3728813559322034,0.9583089366284814,0.8119520414544119
658375,4-chloro-2-[(1-methylbenzimidazol-2-yl)iminomethyl]phenol,CN1C2=CC=CC=C2N=C1N=CC3=C(C=CC(=C3)Cl)O,C15H12ClN3O,4,1,2,3.6829000000000023,285.06688968399993,20,50.41,0.3967466772465781,0,Media,0.66,0.3728813559322034,0.9583089366284814,0.8119520414544119
975300,N-[(4-chlorophenyl)methyl]-1-isopropyl-benzimidazol-2-amine,CC(C)N1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Cl,C17H18ClN3,3,1,4,4.882700000000003,299.11892525599995,21,29.85,0.7035175879396984,0,Media,0.654,0.375,0.9247590799989563,0.7873193099992173
13018814,N-(2-pyridylmethyl)-1H-benzimidazol-2-amine,C1=CC=C2C(=C1)NC(=N2)NCC3=CC=CC=N3,C13H12N4,3,2,3,2.5700000000000003,224.106196384,17,53.6,0.3171641791044776,0,Media,0.652,0.2166666666666666,0.9413824318560292,0.7602034905586885
828723,1-methyl-N-(2-pyridylmethyl)benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=CC=N3,C14H14N4,4,1,3,2.5804,238.121846448,18,42.74,0.4211511464670098,0,Media,0.648,0.5102040816326531,0.9383068791016248,0.8312811797343818
136275329,2-(1H-benzimidazol-2-ylmethyleneamino)-4-chloro-phenol,C1=CC=C2C(=C1)NC(=N2)C=NC3=C(C=CC(=C3)Cl)O,C14H10ClN3O,3,2,2,3.6725000000000017,271.05123962,19,61.27,0.3101028235678146,0,Media,0.648,0.2153846153846154,0.9620899171971412,0.7754135917440098
677973,2-[(1-methylbenzimidazol-2-yl)iminomethyl]phenol,CN1C2=CC=CC=C2N=C1N=CC3=CC=CC=C3O,C15H13N3O,4,1,2,3.029500000000002,251.105862036,19,50.41,0.3769093433842492,0,Media,0.644,0.3636363636363636,0.9478181628128822,0.8017727130187526
135641156,2-[(E)-(1-methylbenzimidazol-2-yl)iminomethyl]phenol,CN1C2=CC=CC=C2N=C1N=CC3=CC=CC=C3O,C15H13N3O,4,1,2,3.029500000000002,251.105862036,19,50.41,0.3769093433842492,0,Media,0.644,0.3636363636363636,0.9478181628128822,0.8017727130187526
655776,1-allyl-N-benzyl-benzimidazol-2-amine,C=CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,C17H17N3,3,1,5,3.8344000000000023,263.142247544,20,29.85,0.6700167504187604,0,Media,0.644,0.3636363636363636,0.941815344971026,0.7972705996373606
808020,1-methyl-N-(4-pyridylmethyl)benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=NC=C3,C14H14N4,4,1,3,2.580400000000001,238.121846448,18,42.74,0.4211511464670098,0,Media,0.642,0.5208333333333334,0.9383068791016248,0.8339384926595519
7342829,1-allyl-N-(p-tolylmethyl)benzimidazol-2-amine,CC1=CC=C(C=C1)CNC2=NC3=CC=CC=C3N2CC=C,C18H19N3,3,1,5,4.142820000000003,277.15789760800004,21,29.85,0.7035175879396984,0,Media,0.642,0.3620689655172414,0.9322414858082256,0.7896983557354795
3878101,4-bromo-2-[[(3-hexyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,CCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C20H24BrN3O,2,2,8,4.483900000000003,401.110274488,25,54.75999999999999,0.4565376186997809,0,Media,0.642,0.2714285714285714,0.8371011932867246,0.6956830378221863
4647637,4-bromo-2-[[(3-heptyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,CCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C21H26BrN3O,2,2,9,4.874000000000004,415.125924552,26,54.75999999999999,0.4747991234477722,0,Media,0.642,0.2714285714285714,0.8171557404788146,0.6807239482162537
3978842,4-bromo-2-[[(3-octyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,CCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C22H28BrN3O,2,2,10,5.264100000000004,429.141574616,27,54.75999999999999,0.4930606281957634,1,Media,0.642,0.2714285714285714,0.7971058757637723,0.6656865496799721
4016874,4-bromo-2-[[(3-nonyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,CCCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C23H30BrN3O,2,2,11,5.654200000000005,443.15722468,28,54.75999999999999,0.5113221329437546,1,Media,0.642,0.2714285714285714,0.7774292248007151,0.6509290614576791
3905491,4-bromo-2-[[(3-decyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,CCCCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C24H32BrN3O,2,2,12,6.044300000000006,457.172874744,29,54.75999999999999,0.5295836376917459,1,Media,0.642,0.2714285714285714,0.7584276729410424,0.6366778975629246
4644694,4-bromo-2-[[(3-hexadecyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,CCCCCCCCCCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C30H44BrN3O,2,2,18,8.384900000000005,541.266775128,35,54.75999999999999,0.6391526661796934,2,Media,0.642,0.2714285714285714,0.663789448531208,0.5656992292555488
16653127,N-(p-tolylmethyl)-1H-benzimidazol-2-amine,CC1=CC=C(C=C1)CNC2=NC3=CC=CC=C3N2,C15H15N3,2,2,3,3.4834200000000015,237.12659748,18,40.71,0.4421518054532056,0,Media,0.64,0.2372881355932203,0.8910652978427946,0.727621007280401
7013069,N-[(4-bromophenyl)methyl]-1-isopropyl-benzimidazol-2-amine,CC(C)N1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Br,C17H18BrN3,3,1,4,4.991800000000003,343.068409676,21,29.85,0.7035175879396984,0,Media,0.638,0.4807692307692308,0.9155105971754482,0.806825255573894
709563,1-allyl-N-[(2-methoxyphenyl)methyl]benzimidazol-2-amine,COC1=CC=CC=C1CNC2=NC3=CC=CC=C3N2CC=C,C18H19N3O,4,1,6,3.843000000000002,293.152812228,22,39.08,0.5629477993858751,0,Media,0.638,0.3833333333333333,0.9330666279645554,0.7956333043067499
563446,N-benzyl-1H-benzimidazol-2-amine,C1=CC=C(C=C1)CNC2=NC3=CC=CC=C3N2,C14H13N3,2,2,3,3.1750000000000007,223.110947416,17,40.71,0.4175878162613608,0,Media,0.638,0.2321428571428571,0.8770497597705642,0.7158230341136375
828727,1-propyl-N-(2-pyridylmethyl)benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=CC=CC=N3,C16H18N4,4,1,5,3.453400000000001,266.153146576,20,42.74,0.4679457182966776,0,Media,0.636,0.3859649122807017,0.9465450961071564,0.8064000501505427
7013067,N-[(4-chlorophenyl)methyl]-1-ethyl-benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Cl,C16H16ClN3,3,1,4,4.3217000000000025,285.10327519199996,20,29.85,0.6700167504187604,0,Media,0.636,0.3818181818181818,0.9473913355664711,0.8059980471293988
1090103,N-[(4-ethoxyphenyl)methyl]-1-methyl-benzimidazol-2-amine,CCOC1=CC=C(C=C1)CNC2=NC3=CC=CC=C3N2C,C17H19N3O,4,1,5,3.584100000000002,281.152812228,21,39.08,0.5373592630501536,0,Media,0.634,0.4716981132075472,0.945171767534095,0.8268033539524581
3926207,N-[(4-methoxyphenyl)methyl]-1-propyl-benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)OC,C18H21N3O,4,1,6,4.067000000000003,295.168462292,22,39.08,0.5629477993858751,0,Media,0.634,0.3793103448275862,0.9322117122276248,0.7939863703776151
1087008,1-ethyl-N-[(4-methoxyphenyl)methyl]benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)OC,C17H19N3O,4,1,5,3.6769000000000016,281.152812228,21,39.08,0.5373592630501536,0,Media,0.632,0.3684210526315789,0.9449197991740252,0.8007951125384135
3569370,4-bromo-2-[[(3-methyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,C[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C15H14BrN3O,2,2,3,2.4406,331.03202416799996,20,54.75999999999999,0.3652300949598247,0,Media,0.632,0.3064516129032258,0.8979532246180084,0.7500778216893128
583995,N-(1H-benzimidazol-2-yl)-2-hydroxy-benzamide,C1=CC=C(C(=C1)C(=O)NC2=NC3=CC=CC=C3N2)O,C14H11N3O2,3,3,2,2.5208,253.085126592,19,78.01,0.2435585181387001,0,Media,0.63,0.2131147540983606,0.9005596165741344,0.728698400955191
44274461,"3,5-dibromo-N-(6-chloro-1H-benzimidazol-2-yl)-2-hydroxy-benzamide",C1=CC2=C(C=C1Cl)NC(=N2)NC(=O)C3=C(C(=CC(=C3)Br)Br)O,C14H8Br2ClN3O2,3,3,2,4.699200000000001,442.867178376,22,78.01,0.2820151262658633,0,Media,0.63,0.1830985915492957,0.9253051397796952,0.7397535027220954
130275021,5-bromo-N-(6-bromo-1H-benzimidazol-2-yl)-2-hydroxy-benzamide,C1=CC2=C(C=C1Br)NC(=N2)NC(=O)C3=C(C=CC(=C3)Br)O,C14H9Br2N3O2,3,3,2,4.045800000000002,408.906150728,21,78.01,0.2691962568901422,0,Media,0.628,0.2786885245901639,0.9296882764008148,0.7669383384481521
60728915,N-(m-tolylmethyl)-1H-benzimidazol-2-amine,CC1=CC(=CC=C1)CNC2=NC3=CC=CC=C3N2,C15H15N3,2,2,3,3.4834200000000015,237.12659748,18,40.71,0.4421518054532056,0,Media,0.628,0.2459016393442623,0.8910652978427946,0.7297743832181616
938000,N-[(3-methoxyphenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)OC,C16H17N3O,4,1,4,3.1940000000000017,267.137162164,20,39.08,0.5117707267144319,0,Media,0.626,0.490566037735849,0.95089161396002,0.8358102199039772
135641157,2-[(E)-(1-ethylbenzimidazol-2-yl)iminomethyl]phenol,CCN1C2=CC=CC=C2N=C1N=CC3=CC=CC=C3O,C16H15N3O,4,1,3,3.512400000000002,265.1215121,20,50.41,0.3967466772465781,0,Media,0.626,0.3,0.9545298315275568,0.7908973736456675
4399158,2-[(1-ethylbenzimidazol-2-yl)iminomethyl]phenol,CCN1C2=CC=CC=C2N=C1N=CC3=CC=CC=C3O,C16H15N3O,4,1,3,3.512400000000002,265.1215121,20,50.41,0.3967466772465781,0,Media,0.626,0.3,0.9545298315275568,0.7908973736456675
937645,N-[(4-bromophenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Br,C15H14BrN3,3,1,3,3.9479000000000024,315.037109548,19,29.85,0.6365159128978224,0,Media,0.624,0.6444444444444445,0.9648805147431052,0.8847714971684401
975633,N-[[4-(dimethylamino)phenyl]methyl]-1-isopropyl-benzimidazol-2-amine,CC(C)N1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)N(C)C,C19H24N4,4,1,5,4.295300000000003,308.200096768,23,33.09,0.6950740404956179,0,Media,0.624,0.3620689655172414,0.92516189765028,0.7843886646170205
932019,"N-[(2,4-dimethoxyphenyl)methyl]-1-methyl-benzimidazol-2-amine",CN1C2=CC=CC=C2N=C1NCC3=C(C=C(C=C3)OC)OC,C17H19N3O2,5,1,5,3.2026000000000012,297.147726848,22,48.31,0.4553922583316083,0,Media,0.622,0.5283018867924528,0.926248990661825,0.826762214694482
666751,N-benzyl-6-methoxy-1H-benzimidazol-2-amine,COC1=CC2=C(C=C1)N=C(N2)NCC3=CC=CC=C3,C15H15N3O,3,2,4,3.183600000000001,253.1215121,19,49.94,0.3804565478574289,0,Media,0.622,0.21875,0.9681050903408464,0.7807663177556349
937758,"N-[(2,5-dimethoxyphenyl)methyl]-1-methyl-benzimidazol-2-amine",CN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)OC)OC,C17H19N3O2,5,1,5,3.2026000000000012,297.147726848,22,48.31,0.4553922583316083,0,Media,0.62,0.5283018867924528,0.926248990661825,0.826762214694482
929874,2-[[(1-allylbenzimidazol-2-yl)amino]methyl]-5-methoxy-phenol,COC1=CC(=C(C=C1)CNC2=NC3=CC=CC=C3N2CC=C)O,C18H19N3O2,5,2,6,3.5486000000000018,309.147726848,23,59.31,0.3877929522846063,0,Media,0.62,0.4354838709677419,0.9796536885694752,0.8436112341690418
828725,1-ethyl-N-(2-pyridylmethyl)benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=N3,C15H16N4,4,1,4,3.063300000000001,252.137496512,19,42.74,0.4445484323818436,0,Media,0.618,0.3818181818181818,0.9477084759977006,0.806235902452821
172462560,5-fluoro-N-[(4-fluorophenyl)methyl]-1-propyl-benzimidazol-2-amine,CCCN1C2=C(C=C(C=C2)F)N=C1NCC3=CC=C(C=C3)F,C17H17F2N3,3,1,5,4.3366000000000025,301.13905398400004,22,29.85,0.7370184254606365,0,Media,0.618,0.3,0.921190757286528,0.7658930679648959
